District,Year,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,Temperature_6,Temperature_7,Temperature_8,Temperature_9,Temperature_10,Temperature_11,Temperature_12,Rainfall_1,Rainfall_2,Rainfall_3,Rainfall_4,Rainfall_5,Rainfall_6,Rainfall_7,Rainfall_8,Rainfall_9,Rainfall_10,Rainfall_11,Rainfall_12,Humidity_1,Humidity_2,Humidity_3,Humidity_4,Humidity_5,Humidity_6,Humidity_7,Humidity_8,Humidity_9,Humidity_10,Humidity_11,Humidity_12,January,February,March,April,May,June,July,August,September,October,November,December
Bagerhat,2019,20,22.68,26.655,29.47,31.44,30.825,30.225,29.81,29.36,28.305,25.235,20.53,0,100,41,101,82,286,301,389,290,97,265,11,71.52,71.75,72.61,76.13,77.87,83.83,86.94,86.97,88.27,85.81,83.23,80.13,,,,,,,,1126,114,34,16,8
Bagerhat,2020,19.385,21.44,26.865,29.515,29.675,29.74,29.93,29.705,29.955,29.225,25.385,20.83,54,3,8,103,245,429,446,401,227,326,12,0,69.23,70.36,70.71,74.93,78.84,81.7,89,83.23,85,82.23,78.43,73.97,0,0,0,0,0,0,0,0,0,0,0,0
Bagerhat,2021,20.64,23.015,28.825,30.685,30.495,29.525,29.705,29.815,29.31,29.13,24.97,21.345,0,0,0,0,187,430,867,338,408,251,2,60,74.87,74.89,76.35,77.4,79.65,84.13,87.58,86.77,88.1,86.87,85.43,81.06,0,0,0,0,0,0,0,4,10,3,3,0
Bagerhat,2022,18.30134409,20.11919643,27.01370968,29.8,28.7141129,28.78069444,28.47473118,28.05107527,27.63194444,26.35376344,22.97402778,20.08736559,15.1,35.4,20,29.3,240.7,333.9,200.4,267.9,394.2,448.7,0.5,2,76.56182796,71.5,61.58736559,73.23194444,80.08467742,82.30694444,82.95564516,85.24731183,87.11805556,83.58064516,73.425,74.88037634,0,0,0,0,1,0,1,1,15,55,81,28
Bagerhat,2023,18.97930108,22.85089286,25.2625,28.90277778,29.26518817,29.75875,28.7358871,28.38938172,28.10458333,26.68790323,23.48333333,19.72526882,0.3,7,87.4,66.1,143.3,289.2,264.7,416.5,273.4,186.5,161.1,8.6,76.43010753,68.57142857,70.59274194,72.08055556,75.48924731,81.36527778,84.27284946,86.71370968,87.54166667,81.27956989,78.30555556,80.40725806,1,0,0,0,1,5,118,331,453,469,308,34
Bagerhat,2024,21.7,22.5,25.8,30.6,32.5,31.7,27.6,27.1,29,29.9,,,0,0,0,0,0.01,0.01,22.43,60.61,0.46,8.91,,,47,55,50,64,63,69,88,90,76,76,,,0,0,0,0,0,1,9,6,27,30,,
Bandarban,2019,21.055,23.13,26.145,28.665,30.065,29.98,28.635,29.505,29.095,28.73,26.175,21.385,0,36,15,102,215,267,1137,355,271,170,133,5,78.87,77.54,74.48,77.37,79.77,83.53,88.19,84.84,87.8,86.97,85.13,84.13,,,,,,,,246,52,80,58,30
Bandarban,2020,20.22,21.455,26.305,28.255,29.47,29.38,28.99,28.99,29.46,29.565,25.86,21.795,52,5,0,147,340,350,433,213,289,324,34,0,77.74,78.5,74.39,76.83,79.23,82.87,88.68,85.71,87.23,86.23,85.3,84.45,21,29,31,30,31,30,31,31,30,31,30,31
Bandarban,2021,21.39,22.795,27.825,29.44,29.81,28.615,28.785,28.71,29.47,29.465,26.54,22.67,0,0,0,32,99,375,478,568,231,146,0,73,68.68,69.04,61.94,73.47,75.87,80.53,83.23,81.23,85.33,83.65,80.87,82.65,0,0,0,0,0,0,0,1,0,6,6,0
Bandarban,2022,19.28669355,19.87276786,25.71182796,28.15416667,27.45913978,26.73847222,27.7563172,27.63844086,26.75930556,26.80846774,24.74847222,21.32325269,14.2,34.4,15.7,38.7,259.3,331.3,213.4,231.4,320.3,170.2,1.3,2.3,73.47983871,63.23214286,60.68413978,74.78611111,82.20698925,87.73333333,86.04301075,85.64516129,90.43333333,84.43010753,73.95138889,74.30107527,0,0,0,0,0,0,0,0,0,32,205,98
Bandarban,2023,19.41370968,22.13363095,25.24448925,28.25291667,28.44489247,28.02375,28.06263441,26.70900538,27.40486111,26.59112903,24.62916667,21.55201613,0,0.1,49.8,74,153.4,271.8,239.8,682.7,390,187.9,70.4,48.7,69.53360215,61.6577381,63.38575269,66.50277778,74.50403226,84.5,85.12903226,91.59677419,89.04722222,82.14247312,79.58194444,81.32930108,8,0,0,0,0,0,76,94,140,212,148,61
Bandarban,2024,20.7,20.6,23.5,26.5,29.4,29.6,27.5,25.9,27.6,28.4,,,0,0,0,0.02,0.32,2.75,96.53,74.02,0.78,9.97,,,69,57,53,82,79,82,90,95,82,83,,,18,4,3,2,6,15,108,107,176,196,,
Barguna,2019,19.845,22.535,26.595,29.025,30.47,30.11,29.2,29.29,28.9,28.015,25.135,20.685,0,58,62,82,182,510,629,684,270,393,220,5,69.1,68.75,72.61,75.63,76.16,82.8,89.1,85.68,85.27,81.65,76.77,71.42,,,,,,,,2801,165,67,29,5
Barguna,2020,19.56,21.375,26.53,28.735,29.67,29.16,29.77,29.14,29.61,29.28,25.13,20.73,63,3,30,120,123,732,567,676,465,553,49,0,71.55,72.86,70.87,74.07,78,83.5,87.23,84,84.37,82.32,80.07,79.06,0,0,0,0,0,0,0,0,0,0,0,0
Barguna,2021,20.915,22.77,28.385,30.115,30.375,29.03,29.185,29.275,29.015,29.125,25.07,21.48,4,0,0,0,123,554,836,426,344,278,0,50,77.03,77.25,69.03,76.4,78.65,80.83,85.94,84.55,87.53,85.9,82.33,82.52,0,0,0,0,0,0,0,2,23,18,20,15
Barguna,2022,18.77553763,20.58244048,26.54193548,28.84638889,28.71854839,28.46013889,28.30080645,28.02782258,27.85805556,26.89153226,23.85694444,20.87405914,28.8,27.6,11.7,17.8,263.7,309.8,220.8,381,460.7,330.8,0.5,2,78.63306452,75.25744048,68.71774194,78.13472222,81.29032258,83.81805556,83.72715054,85.48790323,85.99444444,83.08064516,74.30277778,75.54435484,1,3,0,0,0,0,0,2,63,198,158,60
Barguna,2023,19.81639785,23.30907738,26.11384409,28.95333333,29.02943548,29.25805556,28.51290323,28.19341398,28.01680556,26.84543011,23.80180556,20.03454301,0.3,2.6,63.9,48.5,145.9,315.6,320.9,430.4,290.4,173.4,151.4,2.7,76.62231183,73.53869048,72.80645161,77.52777778,79.9327957,84.64027778,84.53629032,87.01209677,86.99583333,81.13037634,77.08611111,79.97849462,17,4,1,0,4,23,523,768,1384,1105,548,215
Barguna,2024,21.6,22.3,25.8,30,31.9,31.6,27.8,27,29.1,29.9,,,0,0,0,0,0.06,0.03,26.49,66.33,0.43,11.11,,,48,56,52,68,67,70,87,91,76,76,,,45,31,20,17,50,41,75,128,387,688,,
Barisal,2019,18.89663978,20.56800595,26.9280914,29.58541667,28.48293011,28.40763889,28.46854839,28.19112903,27.82611111,26.72083333,23.58,20.57688172,11.9,20.1,20,28.8,226.2,298.9,197.4,236.2,391.9,260.8,0,4.3,76.83333333,70.78869048,62.49327957,73.56388889,81.41263441,83.33888889,83.29973118,84.61693548,86.54861111,83.80913978,74.45833333,75.6344086,,,,,,,,18425,798,405,150,33
Barisal,2020,19.59287634,23.29494048,25.90013441,28.83069444,29.23534946,29.37666667,28.70860215,28.29623656,28.23819444,27.01774194,23.99569444,20.34247312,3,3.2,52.3,98.2,107.3,296.8,243.6,442.2,269.8,111.2,151.6,10.2,75.61693548,68.3452381,68.96370968,73.13333333,76.03225806,82.90972222,84.36693548,87.23387097,87.23055556,82.07258065,78.01666667,80.17741935,85,87,93,90,93,90,93,93,90,93,90,93
Barisal,2021,21.8,22.4,25.5,29.7,32.3,31.4,27.4,27.2,28.8,29.6,,,0,0.04,0,0,0.11,0.05,27.51,51.33,2.55,11.38,,,49,55,52,68,65,71,89,90,78,78,,,0,0,0,0,0,0,0,31,85,60,40,6
Barisal,2022,18.855,21.66,25.955,28.61,30.58,30.38,29.36,29.58,29.105,27.945,24.805,19.705,0,64,29,95,139,148,454,255,238,190,365,12,69.23,70.36,70.71,74.93,78.84,81.7,89,83.23,85,82.23,78.43,73.97,3,1,0,0,0,0,5,24,143,621,610,94
Barisal,2023,18.665,20.535,25.795,28.32,29.21,29.47,29.58,29.345,29.715,29.16,24.665,19.97,54,2,5,178,272,327,310,453,408,278,5,0,76.84,75.11,68.84,75.93,77.26,81.23,85.55,85.39,87.27,86,82.7,83.19,23,20,11,8,32,145,1917,3092,3626,2768,1653,308
Barisal,2024,19.65,21.965,27.885,29.76,30.16,28.88,29.48,29.48,29.355,29.175,24.29,20.755,0,1,1,0,50,404,379,296,244,277,1,66,72.61,74.29,74.65,77.13,79.19,82.3,84.9,83.52,83.33,82.48,80.1,78.87,38,10,5,10,53,27,83,178,330,800,,
Bhola,2019,19.42,21.86,26.185,28.89,30.51,30.345,29.14,29.475,29.12,28.05,25.02,19.98,0,57,44,93,146,147,407,362,268,94,259,18,69.1,68.75,72.61,75.63,76.16,82.8,89.1,85.68,85.27,81.65,76.77,71.42,,,,,,,,2728,191,127,19,4
