District,Year,MinTemp1,MinTemp2,MinTemp3,MinTemp4,MinTemp5,MinTemp6,MinTemp7,MinTemp8,MinTemp9,MinTemp10,MinTemp11,MinTemp12,MaxTemp1,MaxTemp2,MaxTemp3,MaxTemp4,MaxTemp5,MaxTemp6,MaxTemp7,MaxTemp8,MaxTemp9,MaxTemp10,MaxTemp11,MaxTemp12,Rainfall1,Rainfall2,Rainfall3,Rainfall4,Rainfall5,Rainfall6,Rainfall7,Rainfall8,Rainfall9,Rainfall10,Rainfall11,Rainfall12,Humidity1,Humidity2,Humidity3,Humidity4,Humidity5,Humidity6,Humidity7,Humidity8,Humidity9,Humidity10,Humidity11,Humidity12,Sunshine1,Sunshine2,Sunshine3,Sunshine4,Sunshine5,Sunshine6,Sunshine7,Sunshine8,Sunshine9,Sunshine10,Sunshine11,Sunshine12,WindSpeed1,WindSpeed2,WindSpeed3,WindSpeed4,WindSpeed5,WindSpeed6,WindSpeed7,WindSpeed8,WindSpeed9,WindSpeed10,WindSpeed11,WindSpeed12,CloudCoverage1,CloudCoverage2,CloudCoverage3,CloudCoverage4,CloudCoverage5,CloudCoverage6,CloudCoverage7,CloudCoverage8,CloudCoverage9,CloudCoverage10,CloudCoverage11,CloudCoverage12
Bagerhat,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandarban,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barguna,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barisal,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhola,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogra,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brahmanbaria,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandpur,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittagong,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuadanga,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
